candidate,batch,samples,unique_speakers,max_speaker_share,distinct_shards,duplicate_indexes
hybrid_w8,529,32,16,0.0625,7,0
hybrid_w8,530,32,16,0.0625,8,0
hybrid_w8,531,32,16,0.0625,7,0
hybrid_w8,532,32,16,0.0625,4,0
hybrid_w8,533,32,16,0.0625,4,0
hybrid_w8,534,32,16,0.0625,5,0
hybrid_w8,535,32,16,0.0625,3,0
hybrid_w8,536,32,16,0.0625,4,0
hybrid_w8,537,32,16,0.0625,4,0
hybrid_w8,538,32,16,0.0625,7,0
hybrid_w8,539,32,16,0.0625,8,0
hybrid_w8,540,32,16,0.0625,6,0
hybrid_w8,541,32,16,0.0625,6,0
hybrid_w8,542,32,16,0.0625,8,0
hybrid_w8,543,32,16,0.0625,10,0
hybrid_w8,544,32,16,0.0625,9,0
hybrid_w8,545,32,16,0.0625,7,0
hybrid_w8,546,32,16,0.0625,8,0
hybrid_w8,547,32,16,0.0625,7,0
hybrid_w8,548,32,16,0.0625,3,0
hybrid_w8,549,32,16,0.0625,5,0
hybrid_w8,550,32,16,0.0625,6,0
hybrid_w8,551,32,16,0.0625,5,0
hybrid_w8,552,32,16,0.0625,6,0
hybrid_w8,553,32,16,0.0625,7,0
hybrid_w8,554,32,16,0.0625,7,0
hybrid_w8,555,32,16,0.0625,9,0
hybrid_w8,556,32,16,0.0625,6,0
hybrid_w8,557,32,16,0.0625,5,0
hybrid_w8,558,32,16,0.0625,8,0
hybrid_w8,559,32,16,0.0625,9,0
hybrid_w8,560,32,16,0.0625,6,0
hybrid_w8,561,32,16,0.0625,5,0
hybrid_w8,562,32,16,0.0625,7,0
hybrid_w8,563,32,16,0.0625,4,0
hybrid_w8,564,32,16,0.0625,4,0
hybrid_w8,565,32,16,0.0625,7,0
hybrid_w8,566,32,16,0.0625,4,0
hybrid_w8,567,32,16,0.0625,4,0
hybrid_w8,568,32,16,0.0625,7,0
hybrid_w8,569,32,16,0.0625,7,0
hybrid_w8,570,32,16,0.0625,3,0
hybrid_w8,571,32,16,0.0625,4,0
hybrid_w8,572,32,16,0.0625,9,0
hybrid_w8,573,32,16,0.0625,9,0
hybrid_w8,574,32,16,0.0625,9,0
hybrid_w8,575,32,16,0.0625,8,0
hybrid_w8,576,32,16,0.0625,7,0
hybrid_w8,577,32,16,0.0625,9,0
hybrid_w8,578,32,16,0.0625,7,0
hybrid_w8,579,32,16,0.0625,5,0
hybrid_w8,580,32,16,0.0625,6,0
hybrid_w8,581,32,16,0.0625,6,0
hybrid_w8,582,32,16,0.0625,4,0
hybrid_w8,583,32,16,0.0625,4,0
hybrid_w8,584,32,16,0.0625,6,0
hybrid_w8,585,32,16,0.0625,7,0
hybrid_w8,586,32,16,0.0625,8,0
hybrid_w8,587,32,16,0.0625,8,0
hybrid_w8,588,32,16,0.0625,7,0
hybrid_w8,589,32,16,0.0625,8,0
hybrid_w8,590,32,16,0.0625,10,0
hybrid_w8,591,32,16,0.0625,8,0
hybrid_w8,592,32,16,0.0625,8,0
hybrid_w8,593,32,16,0.0625,6,0
hybrid_w8,594,32,16,0.0625,4,0
hybrid_w8,595,32,16,0.0625,4,0
hybrid_w8,596,32,16,0.0625,7,0
